"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 13, 2021","200.30","204.00","207.00","198.30","256.28K","-3.33%"
"Jan 12, 2021","207.20","199.90","212.70","199.90","214.16K","5.23%"
"Jan 11, 2021","196.90","194.50","197.80","190.50","185.32K","-0.40%"
"Jan 08, 2021","197.70","198.20","199.30","192.10","204.86K","-1.69%"
"Jan 07, 2021","201.10","199.10","202.60","195.70","234.88K","-0.05%"
"Jan 06, 2021","201.20","197.60","203.20","191.20","252.17K","1.51%"
"Jan 05, 2021","198.20","190.60","200.40","190.60","216.95K","4.59%"
"Jan 04, 2021","189.50","189.10","195.50","188.30","222.49K","2.21%"
"Jan 01, 2021","185.40","182.70","188.00","182.70","24.38K","1.81%"
"Dec 31, 2020","182.10","178.80","185.00","178.30","194.60K","3.11%"
"Dec 30, 2020","176.60","178.20","181.60","175.50","205.10K","-2.48%"
"Dec 29, 2020","181.10","172.70","181.80","170.10","223.50K","7.29%"
"Dec 28, 2020","168.80","180.00","180.00","165.00","73.27K","-9.97%"
"Dec 24, 2020","187.50","191.60","193.90","185.80","178.87K","-2.29%"
"Dec 23, 2020","191.90","204.70","206.30","189.40","190.14K","-7.21%"
"Dec 22, 2020","206.80","200.30","207.40","199.10","165.77K","3.56%"
"Dec 21, 2020","199.70","198.90","201.50","195.40","187.42K","0.96%"
"Dec 18, 2020","197.80","195.80","200.30","195.10","152.23K","2.01%"
"Dec 17, 2020","193.90","198.30","200.50","192.20","200.14K","-0.77%"
"Dec 16, 2020","195.40","196.70","197.80","193.00","194.58K","0.05%"
"Dec 15, 2020","195.30","197.30","199.00","191.60","202.98K","0.26%"
"Dec 14, 2020","194.80","194.00","199.70","192.90","160.43K","1.78%"
"Dec 11, 2020","191.40","189.30","194.40","186.40","192.62K","0.47%"
"Dec 10, 2020","190.50","179.60","191.60","175.90","219.69K","4.67%"
"Dec 09, 2020","182.00","181.30","186.30","179.80","193.47K","1.56%"
"Dec 08, 2020","179.20","181.40","183.60","177.80","182.94K","-0.11%"
"Dec 07, 2020","179.40","185.00","185.00","176.40","182.91K","-5.88%"
"Dec 04, 2020","190.60","186.90","192.00","182.10","217.08K","2.14%"
"Dec 03, 2020","186.60","207.30","207.30","184.40","299.44K","-10.93%"
"Dec 02, 2020","209.50","212.00","217.20","208.40","234.23K","-0.71%"
"Dec 01, 2020","211.00","219.20","220.20","209.00","231.10K","-2.63%"
"Nov 30, 2020","216.70","215.70","222.50","214.50","182.29K","2.75%"
"Nov 27, 2020","210.90","216.90","219.80","209.80","224.35K","-2.68%"
"Nov 26, 2020","216.70","217.10","218.50","215.20","142.33K","-0.96%"
"Nov 25, 2020","218.80","214.70","219.50","210.80","213.44K","6.68%"
"Nov 24, 2020","205.10","201.70","209.10","199.10","97.67K","1.99%"
"Nov 23, 2020","201.10","198.50","202.10","196.40","161.52K","2.60%"
"Nov 20, 2020","196.00","194.40","198.90","191.40","215.27K","0.46%"
"Nov 19, 2020","195.10","202.60","204.30","187.40","300.00K","-3.65%"
"Nov 18, 2020","202.50","201.40","206.80","200.30","238.53K","1.25%"
"Nov 17, 2020","200.00","200.70","203.60","197.60","218.97K","-2.44%"
"Nov 16, 2020","205.00","217.90","217.90","204.00","140.22K","-8.36%"
"Nov 14, 2020","223.70","222.50","224.30","222.50","7.14K","-1.24%"
"Nov 13, 2020","226.50","222.20","230.80","220.80","234.85K","0.35%"
"Nov 12, 2020","225.70","221.50","228.30","221.50","222.76K","2.97%"
"Nov 11, 2020","219.20","219.60","222.90","217.20","225.41K","-0.32%"
"Nov 10, 2020","219.90","210.80","224.40","210.80","279.25K","3.34%"
"Nov 09, 2020","212.80","218.00","218.00","210.10","227.83K","-0.88%"
"Nov 06, 2020","214.70","218.50","220.90","212.50","258.78K","-3.16%"
"Nov 05, 2020","221.70","228.90","231.10","221.00","258.98K","-2.46%"
"Nov 04, 2020","227.30","229.60","231.50","223.90","235.18K","-0.87%"
"Nov 03, 2020","229.30","239.90","239.90","227.50","256.06K","-5.21%"
"Nov 02, 2020","241.90","248.70","251.30","239.60","255.29K","-2.34%"
"Oct 30, 2020","247.70","246.50","249.60","242.70","219.82K","0.45%"
"Oct 29, 2020","246.60","244.30","249.20","235.00","279.64K","1.11%"
"Oct 28, 2020","243.90","244.00","246.40","242.20","193.60K","7.54%"
"Oct 27, 2020","226.80","225.10","227.90","220.30","84.94K","2.49%"
"Oct 26, 2020","221.30","218.90","228.10","217.30","143.65K","0.77%"
"Oct 23, 2020","219.60","219.40","222.20","214.80","182.91K","-1.35%"
"Oct 22, 2020","222.60","221.80","225.70","219.60","199.37K","-0.13%"
"Oct 21, 2020","222.90","215.00","224.70","214.00","221.24K","4.01%"
"Oct 20, 2020","214.30","205.50","216.80","205.50","237.77K","6.51%"
"Oct 19, 2020","201.20","205.50","205.50","195.60","240.27K","-2.42%"
"Oct 16, 2020","206.20","203.20","209.30","202.00","230.67K","1.13%"
"Oct 15, 2020","203.90","196.30","207.90","195.00","223.56K","3.35%"
"Oct 14, 2020","197.30","205.10","205.10","191.80","238.56K","-6.14%"
"Oct 13, 2020","210.20","208.00","211.50","204.30","239.37K","-1.36%"
"Oct 12, 2020","213.10","205.40","215.60","205.40","206.30K","5.60%"
"Oct 09, 2020","201.80","193.90","205.10","192.60","249.20K","4.29%"
"Oct 08, 2020","193.50","190.50","194.80","184.20","272.08K","1.57%"
"Oct 07, 2020","190.50","186.00","197.20","183.30","267.28K","1.28%"
"Oct 06, 2020","188.10","193.20","198.60","187.00","278.29K","-3.74%"
"Oct 05, 2020","195.40","185.80","199.60","183.30","305.36K","7.01%"
"Oct 01, 2020","182.60","188.50","190.30","179.10","230.54K","-2.09%"
"Sep 30, 2020","186.50","183.90","190.20","180.10","278.86K","-0.96%"
"Sep 29, 2020","188.30","204.70","205.90","187.40","248.74K","-8.15%"
"Sep 28, 2020","205.00","208.00","208.10","200.00","209.13K","24.24%"
"Sep 25, 2020","165.00","164.80","166.90","158.50","75.51K","-0.54%"
"Sep 24, 2020","165.90","158.40","171.60","158.40","161.28K","7.59%"
"Sep 23, 2020","154.20","134.90","156.70","133.60","229.83K","14.73%"
"Sep 22, 2020","134.40","137.00","139.70","133.10","225.12K","-0.30%"
"Sep 21, 2020","134.80","148.10","149.20","132.50","273.93K","-10.43%"
"Sep 18, 2020","150.50","148.20","151.40","143.00","278.17K","-0.13%"
"Sep 17, 2020","150.70","166.10","168.00","147.80","286.79K","-9.76%"
"Sep 16, 2020","167.00","174.80","176.00","166.20","224.66K","-4.30%"
"Sep 15, 2020","174.50","170.10","175.70","167.80","224.70K","2.23%"
"Sep 14, 2020","170.70","170.60","176.50","168.10","263.18K","1.37%"
"Sep 11, 2020","168.40","170.50","172.10","166.40","223.13K","-2.83%"
"Sep 10, 2020","173.30","176.00","176.90","170.60","239.17K","-1.65%"
"Sep 09, 2020","176.20","178.20","182.60","171.40","306.60K","-2.38%"
"Sep 08, 2020","180.50","187.50","190.60","179.40","267.63K","-4.04%"
"Sep 07, 2020","188.10","187.80","188.90","183.80","164.75K","0.32%"
"Sep 04, 2020","187.50","182.60","188.60","178.80","231.99K","3.02%"
"Sep 03, 2020","182.00","183.00","188.90","180.70","232.42K","-0.38%"
"Sep 02, 2020","182.70","185.20","189.50","177.70","277.10K","-3.18%"
"Sep 01, 2020","188.70","194.90","195.90","183.50","202.57K","-1.05%"
"Aug 31, 2020","190.70","193.70","195.70","184.10","180.91K","-1.35%"
"Aug 28, 2020","193.30","200.40","203.00","192.40","185.98K","-2.91%"
"Aug 27, 2020","199.10","191.00","201.10","187.30","181.31K","8.21%"
"Aug 26, 2020","184.00","184.90","190.10","183.10","70.04K","-0.70%"
"Aug 25, 2020","185.30","186.20","189.40","182.10","140.65K","-1.65%"
"Aug 24, 2020","188.40","179.60","189.50","178.70","131.29K","4.32%"
"Aug 21, 2020","180.60","176.90","181.30","171.20","161.13K","1.35%"
"Aug 20, 2020","178.20","182.30","183.30","177.30","112.35K","-1.93%"
"Aug 19, 2020","181.70","181.00","184.10","178.20","117.82K","0.94%"
"Aug 18, 2020","180.00","174.20","184.20","173.70","129.39K","2.74%"
"Aug 17, 2020","175.20","177.70","178.90","172.30","128.17K","-0.79%"
"Aug 14, 2020","176.60","163.50","178.00","162.70","155.52K","8.81%"
"Aug 13, 2020","162.30","161.50","166.30","160.60","125.76K","2.33%"
"Aug 12, 2020","158.60","160.90","162.30","156.20","127.54K","-2.40%"
"Aug 11, 2020","162.50","161.60","167.00","160.70","151.06K","1.12%"
"Aug 10, 2020","160.70","169.90","170.90","159.00","142.32K","-4.52%"
"Aug 07, 2020","168.30","162.90","169.50","160.80","138.61K","2.94%"
"Aug 06, 2020","163.50","163.70","171.60","162.70","144.56K","-0.12%"
"Aug 05, 2020","163.70","164.40","169.90","162.20","163.96K","-0.24%"
"Aug 04, 2020","164.10","158.60","165.70","154.80","214.24K","2.82%"
"Aug 03, 2020","159.60","136.00","162.10","136.00","241.76K","17.70%"
"Jul 31, 2020","135.60","137.90","139.80","134.90","153.09K","-1.45%"
"Jul 30, 2020","137.60","144.10","144.40","136.70","166.14K","-4.51%"
"Jul 29, 2020","144.10","138.50","145.50","137.20","176.61K","8.84%"
"Jul 28, 2020","132.40","129.60","134.60","128.90","64.51K","1.46%"
"Jul 27, 2020","130.50","133.40","134.70","128.30","117.92K","-2.32%"
"Jul 24, 2020","133.60","133.40","136.00","130.20","154.17K","-0.74%"
"Jul 23, 2020","134.60","126.60","135.20","125.70","177.96K","6.74%"
"Jul 22, 2020","126.10","125.00","126.80","121.30","169.90K","1.45%"
"Jul 21, 2020","124.30","123.10","125.70","121.40","162.80K","0.89%"
"Jul 20, 2020","123.20","128.10","128.10","120.40","203.54K","-4.12%"
"Jul 17, 2020","128.50","129.60","131.50","127.10","163.12K","-0.70%"
"Jul 16, 2020","129.40","134.20","136.20","128.50","199.15K","-3.22%"
"Jul 15, 2020","133.70","132.50","134.40","130.40","160.20K","0.91%"
"Jul 14, 2020","132.50","132.70","133.80","129.10","162.37K","-0.30%"
"Jul 13, 2020","132.90","136.20","136.90","131.70","190.71K","-3.28%"
"Jul 10, 2020","137.40","134.20","138.30","131.20","184.23K","1.40%"
"Jul 09, 2020","135.50","138.00","142.10","134.50","183.68K","-2.73%"
"Jul 08, 2020","139.30","141.50","141.50","136.10","171.20K","-2.11%"
"Jul 07, 2020","142.30","134.80","144.50","134.80","230.25K","6.27%"
"Jul 06, 2020","133.90","132.40","139.60","132.00","245.18K","1.36%"
"Jul 03, 2020","132.10","129.10","133.70","128.60","112.95K","2.24%"
"Jul 02, 2020","129.20","128.20","131.10","125.90","191.39K","1.02%"
"Jul 01, 2020","127.90","130.10","131.80","125.70","199.92K","-1.92%"
"Jun 30, 2020","130.40","129.20","135.40","128.10","212.23K","0.31%"
"Jun 29, 2020","130.00","119.00","133.00","119.00","241.64K","10.17%"
"Jun 26, 2020","118.00","117.60","118.80","115.60","137.47K","4.89%"
"Jun 25, 2020","112.50","120.10","120.10","110.50","88.20K","-8.46%"
"Jun 24, 2020","122.90","124.00","125.30","122.50","110.32K","-1.36%"
"Jun 23, 2020","124.60","125.60","126.00","122.10","146.50K","-1.03%"
"Jun 22, 2020","125.90","128.70","130.30","125.30","143.61K","-1.72%"
"Jun 19, 2020","128.10","125.70","128.50","125.20","127.03K","1.51%"
"Jun 18, 2020","126.20","124.20","127.20","123.30","153.17K","2.35%"
"Jun 17, 2020","123.30","124.30","125.90","122.50","158.12K","-0.32%"
"Jun 16, 2020","123.70","127.60","128.70","122.10","180.65K","-3.51%"
"Jun 15, 2020","128.20","133.00","133.30","126.60","163.95K","-3.75%"
"Jun 12, 2020","133.20","138.10","138.50","132.40","134.04K","-3.76%"
"Jun 11, 2020","138.40","136.00","139.90","134.30","162.25K","1.69%"
"Jun 10, 2020","136.10","132.80","137.10","130.60","164.45K","1.72%"
"Jun 09, 2020","133.80","136.40","138.40","133.10","132.53K","-0.89%"
"Jun 08, 2020","135.00","135.30","136.30","132.60","138.79K","-0.59%"
"Jun 05, 2020","135.80","137.70","141.30","135.20","154.80K","-1.59%"
"Jun 04, 2020","138.00","137.60","140.30","136.00","140.73K","1.02%"
"Jun 03, 2020","136.60","134.50","140.80","134.50","155.72K","1.41%"
"Jun 02, 2020","134.70","135.80","135.80","133.20","151.89K","-2.18%"
"Jun 01, 2020","137.70","136.20","138.30","132.50","193.84K","1.32%"
"May 29, 2020","135.90","139.40","141.40","134.00","158.83K","-2.86%"
"May 28, 2020","139.90","143.80","144.80","139.30","135.88K","-4.11%"
"May 27, 2020","145.90","146.80","150.30","144.70","144.46K","7.20%"
"May 26, 2020","136.10","131.70","136.80","129.10","77.99K","4.29%"
"May 25, 2020","130.50","131.80","131.90","128.30","45.53K","-1.21%"
"May 22, 2020","132.10","129.00","133.80","127.60","138.43K","2.56%"
"May 21, 2020","128.80","133.80","134.70","128.20","143.32K","-3.88%"
"May 20, 2020","134.00","138.00","143.10","132.10","156.75K","-3.74%"
"May 19, 2020","139.20","134.40","140.30","133.60","185.06K","-0.22%"
"May 18, 2020","139.50","129.50","140.50","129.30","153.39K","10.71%"
"May 15, 2020","126.00","129.20","131.70","125.10","170.92K","-2.02%"
"May 14, 2020","128.60","123.30","129.80","121.90","196.63K","4.47%"
"May 13, 2020","123.10","130.20","131.50","121.70","216.21K","-7.58%"
"May 12, 2020","133.20","138.00","139.90","131.50","164.80K","-3.41%"
"May 11, 2020","137.90","139.30","143.60","137.50","154.18K","-0.72%"
"May 08, 2020","138.90","145.50","145.80","138.50","149.50K","-4.60%"
"May 07, 2020","145.60","149.00","150.90","144.40","185.80K","-2.74%"
"May 06, 2020","149.70","159.10","159.10","149.20","160.70K","-6.55%"
"May 05, 2020","160.20","152.00","163.80","152.00","206.33K","6.37%"
"May 04, 2020","150.60","147.90","151.80","147.00","170.52K","4.87%"
"May 01, 2020","143.60","145.00","152.50","142.80","136.04K","-0.42%"
"Apr 30, 2020","144.20","142.60","144.90","138.00","167.13K","0.63%"
"Apr 29, 2020","143.30","149.60","150.10","141.20","167.21K","-4.21%"
"Apr 28, 2020","149.60","147.50","153.00","144.10","189.30K","10.57%"
"Apr 27, 2020","135.30","132.40","138.80","121.90","76.67K","0.07%"
"Apr 24, 2020","135.20","139.20","144.00","131.70","130.38K","-2.80%"
"Apr 23, 2020","139.10","144.10","148.70","137.70","123.15K","0.36%"
"Apr 22, 2020","138.60","145.00","151.00","137.30","44.66K","-6.10%"
"Apr 21, 2020","147.60","135.50","150.10","135.50","96.90K","10.07%"
"Apr 20, 2020","134.10","135.00","135.50","132.80","45.50K","2.44%"
"Apr 17, 2020","130.90","127.10","132.30","127.10","64.21K","5.23%"
"Apr 16, 2020","124.40","124.10","124.80","121.10","41.82K","-1.03%"
"Apr 15, 2020","125.70","134.50","134.50","123.90","53.37K","-7.78%"
"Apr 13, 2020","136.30","137.00","137.00","134.90","46.53K","-0.44%"
"Apr 09, 2020","136.90","144.00","144.00","135.60","68.83K","-5.06%"
"Apr 08, 2020","144.20","139.00","144.70","139.00","61.94K","5.49%"
"Apr 07, 2020","136.70","126.00","137.80","126.00","94.32K","12.60%"
"Apr 03, 2020","121.40","125.40","125.40","120.20","76.45K","-4.78%"
"Apr 01, 2020","127.50","129.50","129.50","125.10","64.28K","-2.97%"
"Mar 31, 2020","131.40","127.90","132.50","127.90","45.56K","4.87%"
"Mar 30, 2020","125.30","128.00","128.00","124.30","42.29K","-2.94%"
"Mar 27, 2020","129.10","130.20","131.90","128.00","114.17K","5.73%"
"Mar 26, 2020","122.10","126.00","127.00","121.50","95.04K","-3.33%"
"Mar 25, 2020","126.30","127.40","131.20","125.50","106.00K","0.72%"
"Mar 24, 2020","125.40","123.40","128.30","121.60","111.38K","1.37%"
"Mar 23, 2020","123.70","121.30","124.60","117.00","122.92K","0.98%"
"Mar 20, 2020","122.50","122.10","128.20","121.10","180.03K","-0.89%"
"Mar 19, 2020","123.60","122.30","127.00","121.30","135.88K","3.78%"
"Mar 18, 2020","119.10","128.30","128.30","118.50","156.86K","-9.08%"
"Mar 17, 2020","131.00","136.00","136.00","130.00","122.85K","-3.96%"
"Mar 16, 2020","136.40","136.60","138.30","133.00","135.19K","-2.43%"
"Mar 13, 2020","139.80","138.60","144.90","135.00","157.20K","0.72%"
"Mar 12, 2020","138.80","142.80","142.80","133.00","188.98K","-4.93%"
"Mar 11, 2020","146.00","143.10","148.90","140.80","229.47K","2.82%"
"Mar 10, 2020","142.00","132.00","144.00","132.00","138.80K","8.31%"
"Mar 09, 2020","131.10","128.80","131.90","119.90","153.79K","1.31%"
"Mar 06, 2020","129.40","132.20","132.20","128.50","129.32K","-2.34%"
"Mar 05, 2020","132.50","134.50","136.40","132.30","150.58K","-1.19%"
"Mar 04, 2020","134.10","133.80","136.60","131.80","147.35K","0.30%"
"Mar 03, 2020","133.70","128.90","135.30","128.90","199.09K","4.70%"
"Mar 02, 2020","127.70","126.20","129.10","124.70","175.94K","2.74%"
"Feb 28, 2020","124.30","127.00","127.70","119.60","186.84K","-0.40%"
"Feb 27, 2020","124.80","133.80","133.80","124.20","158.31K","-7.00%"
"Feb 26, 2020","134.20","133.90","136.00","131.90","128.58K","1.28%"
"Feb 25, 2020","132.50","134.50","134.50","130.80","97.51K","-0.23%"
"Feb 24, 2020","132.80","135.30","135.30","131.90","120.73K","-3.35%"
"Feb 21, 2020","137.40","139.00","139.00","133.80","109.18K","-2.62%"
"Feb 20, 2020","141.10","140.50","145.80","138.70","178.42K","0.43%"
"Feb 19, 2020","140.50","141.00","141.50","139.50","122.10K","-0.71%"
"Feb 18, 2020","141.50","138.50","141.90","137.80","166.47K","1.73%"
"Feb 17, 2020","139.10","133.00","139.70","133.00","122.68K","5.14%"
"Feb 14, 2020","132.30","131.30","132.90","128.60","139.11K","0.23%"
"Feb 13, 2020","132.00","131.60","133.50","130.70","140.81K","0.76%"
"Feb 12, 2020","131.00","127.90","131.80","127.90","143.61K","3.07%"
"Feb 11, 2020","127.10","126.90","127.80","125.60","133.93K","0.47%"
"Feb 10, 2020","126.50","133.10","133.10","126.20","130.38K","-5.74%"
"Feb 07, 2020","134.20","134.60","136.30","132.00","145.98K","-1.03%"
"Feb 06, 2020","135.60","133.40","136.10","131.10","163.09K","1.95%"
"Feb 05, 2020","133.00","133.70","134.80","130.60","134.86K","-0.52%"
"Feb 04, 2020","133.70","130.60","134.70","129.40","123.73K","1.98%"
"Feb 03, 2020","131.10","134.00","135.10","130.20","123.52K","-2.16%"
"Feb 01, 2020","134.00","132.90","134.20","132.30","8.78K","1.21%"
"Jan 31, 2020","132.40","131.60","133.70","130.30","114.73K","0.84%"
"Jan 30, 2020","131.30","134.60","135.60","130.70","140.76K","-2.45%"
"Jan 29, 2020","134.60","137.40","137.70","133.40","111.29K","-2.60%"
"Jan 28, 2020","138.20","136.00","139.50","134.50","87.50K","0.51%"
"Jan 27, 2020","137.50","136.40","140.80","135.90","119.24K","2.31%"
"Jan 24, 2020","134.40","138.20","138.20","133.70","129.33K","-2.89%"
"Jan 23, 2020","138.40","136.80","141.30","136.80","131.79K","1.84%"
"Jan 22, 2020","135.90","134.90","138.40","134.90","122.20K","1.04%"
"Jan 21, 2020","134.50","139.10","139.30","134.00","140.78K","-2.39%"
"Jan 20, 2020","137.80","140.50","140.50","135.10","138.94K","-3.50%"
"Jan 17, 2020","142.80","151.50","151.50","142.50","164.54K","-6.24%"
"Jan 16, 2020","152.30","152.40","154.20","150.30","122.04K","0.66%"
"Jan 15, 2020","151.30","158.10","158.10","149.40","142.95K","-4.72%"
"Jan 14, 2020","158.80","154.80","160.00","154.50","135.21K","3.18%"
"Jan 13, 2020","153.90","156.80","158.20","153.50","136.16K","-2.78%"
"Jan 10, 2020","158.30","154.40","158.90","152.70","156.04K","3.33%"
"Jan 09, 2020","153.20","153.50","155.50","150.60","133.75K","0.33%"
"Jan 08, 2020","152.70","155.00","156.90","151.60","118.60K","-2.43%"
"Jan 07, 2020","156.50","154.90","157.00","151.90","132.12K","1.82%"
"Jan 06, 2020","153.70","154.50","157.00","152.60","131.30K","0.13%"
"Jan 03, 2020","153.50","153.90","155.90","148.90","148.77K","0.72%"
"Jan 02, 2020","152.40","155.10","156.90","152.10","141.52K","-1.74%"
"Jan 01, 2020","155.10","156.00","157.20","154.00","26.76K","-0.26%"
"Dec 31, 2019","155.50","157.40","158.20","154.40","122.28K","-1.52%"
"Dec 30, 2019","157.90","158.40","161.40","157.50","139.10K","0.57%"
"Dec 27, 2019","157.00","162.50","162.70","156.20","163.23K","-2.36%"
"Dec 26, 2019","160.80","158.00","161.70","157.60","69.01K","3.01%"
"Dec 24, 2019","156.10","158.20","158.20","154.20","92.94K","-1.64%"
"Dec 23, 2019","158.70","164.00","164.00","157.80","98.07K","-4.28%"
"Dec 20, 2019","165.80","161.40","167.30","161.40","120.47K","3.17%"
"Dec 19, 2019","160.70","162.90","163.90","159.20","141.13K","-0.86%"
"Dec 18, 2019","162.10","165.50","165.80","160.80","106.19K","-1.88%"
"Dec 17, 2019","165.20","167.60","167.60","162.50","109.18K","-1.67%"
"Dec 16, 2019","168.00","161.40","168.90","161.10","96.68K","3.19%"
"Dec 13, 2019","162.80","164.10","165.10","159.80","120.11K","-0.31%"
"Dec 12, 2019","163.30","160.00","164.20","159.20","108.85K","1.74%"
"Dec 11, 2019","160.50","161.80","163.40","159.90","89.79K","-0.19%"
"Dec 10, 2019","160.80","157.80","162.70","156.30","107.65K","2.42%"
"Dec 09, 2019","157.00","167.90","167.90","156.70","97.55K","-6.55%"
"Dec 06, 2019","168.00","173.50","174.10","167.70","116.46K","-3.78%"
"Dec 05, 2019","174.60","172.60","176.00","170.30","123.65K","1.93%"
"Dec 04, 2019","171.30","177.50","177.50","169.60","138.30K","-4.67%"
"Dec 03, 2019","179.70","169.00","180.50","168.40","146.78K","6.96%"
"Dec 02, 2019","168.00","169.20","170.60","164.70","127.88K","0.48%"
"Nov 29, 2019","167.20","177.20","178.50","166.70","123.76K","-5.70%"
"Nov 28, 2019","177.30","180.80","180.80","176.30","58.51K","-1.23%"
"Nov 27, 2019","179.50","181.20","183.30","176.60","124.60K","-0.22%"
"Nov 26, 2019","179.90","186.10","186.20","179.40","110.78K","-0.99%"
"Nov 25, 2019","181.70","190.70","191.20","179.70","78.59K","-4.57%"
"Nov 22, 2019","190.40","185.00","191.00","183.70","103.86K","3.09%"
"Nov 21, 2019","184.70","184.90","185.80","181.00","104.02K","0.49%"
"Nov 20, 2019","183.80","181.20","185.30","180.40","100.41K","1.55%"
"Nov 19, 2019","181.00","185.90","185.90","179.20","101.79K","-3.00%"
"Nov 18, 2019","186.60","193.10","193.10","185.20","113.49K","-3.81%"
"Nov 15, 2019","194.00","191.50","195.30","187.50","123.16K","0.73%"
"Nov 14, 2019","192.60","187.00","194.50","187.00","149.10K","3.49%"
"Nov 13, 2019","186.10","188.90","189.90","185.60","78.18K","-1.95%"
"Nov 12, 2019","189.80","189.40","192.80","187.50","76.22K","0.85%"
"Nov 11, 2019","188.20","200.00","200.00","187.90","111.88K","-5.99%"
"Nov 08, 2019","200.20","198.90","201.60","196.70","108.54K","1.01%"
"Nov 07, 2019","198.20","202.20","204.80","195.60","155.23K","-2.03%"
"Nov 06, 2019","202.30","202.30","205.90","200.80","118.87K","-0.44%"
"Nov 05, 2019","203.20","201.00","205.60","200.60","130.12K","1.45%"
"Nov 04, 2019","200.30","192.00","201.70","192.00","126.16K","4.54%"
"Nov 01, 2019","191.60","187.90","192.30","183.30","143.11K","2.46%"
"Oct 31, 2019","187.00","192.20","194.80","186.10","147.97K","-2.09%"
"Oct 30, 2019","191.00","190.00","193.80","186.50","137.79K","-0.31%"
"Oct 29, 2019","191.60","181.00","192.10","181.00","148.79K","6.74%"
"Oct 28, 2019","179.50","176.90","183.70","176.90","83.11K","1.87%"
"Oct 27, 2019","176.20","175.80","176.50","175.80","1.98K","7.50%"
"Oct 25, 2019","163.90","165.50","166.20","161.50","67.01K","-0.55%"
"Oct 24, 2019","164.80","162.20","166.20","161.10","96.11K","1.60%"
"Oct 23, 2019","162.20","161.70","163.30","159.70","87.48K","0.56%"
"Oct 22, 2019","161.30","159.40","163.90","158.70","112.66K","1.70%"
"Oct 21, 2019","158.60","164.10","164.30","157.00","92.92K","-3.76%"
"Oct 18, 2019","164.80","165.40","167.00","163.20","109.52K","0.00%"
"Oct 17, 2019","164.80","165.10","168.30","163.80","100.45K","-0.66%"
"Oct 16, 2019","165.90","168.00","170.40","165.50","107.98K","-1.19%"
"Oct 15, 2019","167.90","164.00","168.30","162.50","113.15K","2.94%"
"Oct 14, 2019","163.10","159.80","165.00","159.40","120.84K","3.16%"
"Oct 11, 2019","158.10","157.80","161.00","156.00","95.06K","-0.19%"
"Oct 10, 2019","158.40","160.30","161.90","157.70","92.83K","-0.88%"
"Oct 09, 2019","159.80","163.60","164.50","159.40","91.04K","-2.08%"
"Oct 08, 2019","163.20","165.60","166.00","162.40","62.46K","-1.75%"
"Oct 07, 2019","166.10","165.00","167.00","163.60","96.51K","-1.13%"
"Oct 04, 2019","168.00","167.20","170.60","161.30","99.54K","1.27%"
"Oct 03, 2019","165.90","162.80","167.40","157.50","98.40K","1.53%"
"Oct 01, 2019","163.40","166.00","166.80","162.20","70.77K","-1.45%"
"Sep 30, 2019","165.80","171.30","171.30","165.60","56.18K","-3.10%"
"Sep 27, 2019","171.10","174.00","174.70","168.70","66.78K","-1.50%"
"Sep 26, 2019","173.70","180.70","182.70","172.20","88.47K","-2.03%"
"Sep 25, 2019","177.30","178.50","178.90","174.50","47.64K","-0.67%"
"Sep 24, 2019","178.50","179.00","183.80","177.50","64.92K","-0.28%"
"Sep 23, 2019","179.00","179.80","180.40","177.00","57.81K","-0.61%"
"Sep 20, 2019","180.10","182.50","183.50","178.30","63.20K","-0.94%"
"Sep 19, 2019","181.80","187.80","188.40","180.90","63.01K","-2.52%"
"Sep 18, 2019","186.50","190.50","192.50","185.60","60.66K","-2.66%"
"Sep 17, 2019","191.60","192.00","194.90","189.20","71.23K","0.52%"
"Sep 16, 2019","190.60","187.20","193.70","187.20","67.95K","2.36%"
"Sep 13, 2019","186.20","183.40","186.70","180.70","54.22K","1.75%"
"Sep 12, 2019","183.00","182.70","183.90","179.30","69.80K","-0.27%"
"Sep 11, 2019","183.50","188.00","188.00","182.00","64.86K","-1.82%"
"Sep 10, 2019","186.90","188.60","191.00","185.50","53.25K","0.43%"
"Sep 09, 2019","186.10","179.90","186.30","179.20","65.95K","3.91%"
"Sep 06, 2019","179.10","174.30","180.20","173.00","67.25K","1.99%"
"Sep 05, 2019","175.60","175.80","177.90","172.30","75.07K","0.23%"
"Sep 04, 2019","175.20","170.50","176.10","169.50","63.67K","2.34%"
"Sep 03, 2019","171.20","166.00","171.70","165.90","74.50K","2.88%"
"Sep 02, 2019","166.40","168.10","169.40","166.10","26.73K","0.79%"
"Aug 30, 2019","165.10","165.00","165.80","162.70","49.89K","-0.30%"
"Aug 29, 2019","165.60","161.70","166.40","160.30","72.83K","1.97%"
"Aug 28, 2019","162.40","158.30","164.00","157.60","56.82K","3.24%"
"Aug 27, 2019","157.30","159.90","160.90","156.10","34.52K","-1.50%"
"Aug 26, 2019","159.70","155.70","160.30","155.70","54.57K","3.30%"
"Aug 23, 2019","154.60","156.40","156.40","152.10","52.33K","-1.02%"
"Aug 22, 2019","156.20","155.50","158.00","154.80","56.55K","0.84%"
"Aug 21, 2019","154.90","158.50","160.40","154.40","68.37K","-2.52%"
"Aug 20, 2019","158.90","159.80","160.10","157.20","60.51K","0.89%"
"Aug 19, 2019","157.50","155.90","159.20","152.80","61.62K","0.77%"
